Date,Location,Type
"2017-05-15","Chambly,Canada","Green Waste"
"2017-05-16","Chambly,Canada","Garbage"
"2017-05-20","Chambly,Canada","Dry Material & Wood"
"2017-05-23","Chambly,Canada","Recyclable Material"
"2017-05-23","Chambly,Canada","Garbage"
"2017-05-29","Chambly,Canada","Green Waste"
"2017-05-30","Chambly,Canada","Garbage"
"2017-06-02","Chambly,Canada","Hazardous Household Waste"
"2017-06-03","Chambly,Canada","Dry Material & Wood"
"2017-06-06","Chambly,Canada","Recyclable Material"
"2017-06-06","Chambly,Canada","Garbage & Bulky Waste"
"2017-06-13","Chambly,Canada","Garbage"
"2017-06-20","Chambly,Canada","Recyclable Material"
"2017-06-20","Chambly,Canada","Garbage"
"2017-06-27","Chambly,Canada","Garbage"
"2017-07-04","Chambly,Canada","Recyclable Material"
"2017-07-04","Chambly,Canada","Garbage & Bulky Waste"
"2017-07-07","Chambly,Canada","Hazardous Household Material"
"2017-07-08","Chambly,Canada","Dry Material & Wood"
"2017-07-11","Chambly,Canada","Garbage"
"2017-07-18","Chambly,Canada","Recyclable Material"
"2017-07-18","Chambly,Canada","Garbage"
"2017-07-25","Chambly,Canada","Garbage"
"2017-08-01","Chambly,Canada","Recyclable Material"
"2017-08-01","Chambly,Canada","Garbage & Bulky Waste"
"2017-08-04","Chambly,Canada","Hazardous Household Material"
"2017-08-05","Chambly,Canada","Dry Material & Wood"
"2017-08-08","Chambly,Canada","Garbage"
"2017-08-15","Chambly,Canada","Recyclable Material"
"2017-08-15","Chambly,Canada","Garbage"
"2017-08-22","Chambly,Canada","Garbage"
"2017-08-29","Chambly,Canada","Recyclable Material"
"2017-08-29","Chambly,Canada","Garbage"
"2017-09-05","Chambly,Canada","Garbage & Bulky Waste"
"2017-09-08","Chambly,Canada","Hazardous Household Material"
"2017-09-09","Chambly,Canada","Dry Material & Wood"
"2017-09-09","Chambly,Canada","Electronic & Computer Equipment"
"2017-09-12","Chambly,Canada","Recyclable Material"
"2017-09-12","Chambly,Canada","Garbage"
"2017-09-19","Chambly,Canada","Garbage"
"2017-09-26","Chambly,Canada","Recyclable Material"
"2017-09-26","Chambly,Canada","Garbage"
"2017-10-03","Chambly,Canada","Garbage & Bulky Waste"
"2017-10-06","Chambly,Canada","Hazardous Household Material"
"2017-10-07","Chambly,Canada","Dry Material & Wood"
"2017-10-10","Chambly,Canada","Recyclable Material"
"2017-10-10","Chambly,Canada","Garbage"
"2017-10-16","Chambly,Canada","Green Waste"
"2017-10-24","Chambly,Canada","Recyclable Material"
"2017-10-24","Chambly,Canada","Garbage"
"2017-10-16","Chambly,Canada","Green Waste"
"2017-11-03","Chambly,Canada","Hazardous Household Material"
"2017-11-04","Chambly,Canada","Dry Material & Wood"
"2017-11-07","Chambly,Canada","Recyclable Material"
"2017-11-07","Chambly,Canada","Garbage & Bulky Waste"
"2017-11-13","Chambly,Canada","Green Waste"
"2017-11-21","Chambly,Canada","Recyclable Material"
"2017-11-21","Chambly,Canada","Garbage"
"2017-11-27","Chambly,Canada","Green Waste"
"2017-12-01","Chambly,Canada","Hazardous Household Material"
"2017-12-06","Chambly,Canada","Recyclable Material"
"2017-12-06","Chambly,Canada","Garbage & Bulky Waste"
"2017-12-19","Chambly,Canada","Recyclable Material"
"2017-12-19","Chambly,Canada","Garbage"
